"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy","87/6158","100/10623",0.87,1.50081357583631,5.90906227571565,2.40900165510867e-10,1.28603626818878e-09,2.88690076887517e-10,"241113/13346/21956/12292/21808/16773/16000/16404/24052/53313/20391/16400/12295/16399/16416/12299/54377/140723/192897/11465/110893/21809/320910/20191/13614/109700/12294/12289/21924/17888/140781/24053/105787/20649/12297/19082/16402/16419/16772/20541/13527/241226/12296/12298/16420/16403/22138/16401/16410/17868/11464/20648/16905/59069/213119/22004/108079/12293/108099/16193/24051/19079/18125/17906/11938/11461/20392/12391/12288/319734/16651/54378/21954/21803/11937/326618/20650/11606/16412/319480/22003/56808/13138/17897/104099/13726/13405",87
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance","72/6158","80/10623",0.9,1.55256576810653,5.82584768536685,2.60094990526708e-10,1.36746911686012e-09,3.06970164257997e-10,"26987/12043/23797/56484/26396/16000/13867/13649/18015/72508/13866/20848/18750/14784/20663/11651/20418/18708/18591/26413/56637/22339/20662/100042150/18596/58988/12015/16452/19211/271849/12125/12048/20779/18803/18706/14173/54635/20416/16194/18176/13645/13684/20104/16451/18710/56717/18707/15234/16193/14184/16542/18590/17295/109880/21802/110157/16653/26362/11652/16001/18751/14183/14456/13685/211323/18709/14388/234779/71785/26395/74769/11836",72
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","113/6158","136/10623",0.830882352941177,1.43333277611142,5.97279513069211,2.65972274735735e-10,1.37749819900448e-09,3.09221497728899e-10,"12633/22145/12043/14103/23797/11545/12334/26408/18646/16907/17873/26396/11783/13198/26420/16187/18952/53859/78943/11799/11465/18035/14281/11651/19766/23882/13039/18708/16188/26419/328417/13030/21933/12984/12983/11911/22143/22142/26413/18607/12018/16440/13163/16906/58801/19697/12333/12015/14102/12675/12369/22030/20740/22029/69601/12125/12048/64138/22035/18706/229445/16905/13040/17210/18049/18176/12368/18033/16476/18710/12371/18707/13368/26414/19249/12123/66593/11461/12366/13063/13197/13666/64704/16438/110157/12122/22144/21937/16653/22147/16439/170770/11652/13032/14082/16150/12367/18709/78688/12364/11797/11796/11920/26395/12047/12044/13036/74769/235587/12046/11798/26926/16151",113
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","78/6158","88/10623",0.886363636363636,1.52904204434734,5.85229908975997,2.75112232551424e-10,1.40388153963741e-09,3.15144043479959e-10,"12043/64143/23797/21808/17873/26396/13649/26420/21414/72508/12006/14784/11799/20663/14281/21809/11651/56044/23882/17686/27015/18708/26419/17869/26413/56637/12005/12018/12575/20662/17685/17688/11789/58801/17128/17126/58988/12015/21416/19730/107986/12125/18706/18176/13645/16842/21812/16476/18710/12371/56717/18707/13874/11839/26414/19353/109880/13063/67653/13197/21415/21802/110157/16653/170770/21803/11652/12443/12367/18709/17127/26395/74769/11848/17350/21813/12387/11836",78
"Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway","122/6158","149/10623",0.818791946308725,1.41247594115583,5.95453333353991,3.47188196651041e-10,1.74600440924509e-09,3.91943959606057e-10,"227333/64143/26361/18783/103967/23797/14816/14360/28169/26396/18717/17311/54140/13139/432530/13649/11840/104709/18806/56077/11841/18750/14674/14784/20698/19157/104111/30955/217480/11845/20663/11651/56044/11607/20418/20963/14062/18708/19012/19229/380921/11514/72318/18591/223864/11512/11515/26413/110197/224129/68262/22084/268934/55979/20662/18596/18797/18719/67512/19730/64930/13429/56508/14061/104418/18796/211429/329502/78390/271844/271849/11998/18795/18798/18803/14683/11608/18805/18706/54635/20416/18720/18176/13645/65086/19220/14745/67916/18710/56717/18707/19744/110524/19247/18590/14673/19159/14823/320127/67653/108073/110157/381810/16653/11652/14389/66922/16337/52123/18709/14388/11513/234779/11606/71785/13430/26395/74769/17532/108068/11848/78134",122
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","230/6158","308/10623",0.746753246753247,1.28820392014611,6.02771743032631,4.17229753589966e-10,2.06826749279597e-09,4.64285740836955e-10,"12421/12859/226977/227058/100101919/627872/66495/227197/12912/22145/70247/67273/66052/226646/16513/26408/237336/15182/641340/21780/66420/66043/75406/66594/11783/66414/69654/407790/11947/66152/26420/22333/22272/14778/14799/29869/327954/20020/69077/71770/67300/11951/26446/22123/56208/19184/78943/66997/52639/432611/71679/69926/26443/19167/105000/19179/76559/217864/16593/13411/66694/22151/73710/74325/407785/12867/17993/66413/22334/105675/110083/110084/26419/67089/100504663/20512/110082/12864/66218/66445/69833/54152/328572/67130/22143/22142/68118/20683/67942/12914/11773/21762/68194/73916/11957/20655/28080/20656/19170/68342/13417/78330/66416/74764/20463/16573/72504/225326/69241/67665/67951/11946/225887/17995/16594/329015/18797/67710/14682/67264/54130/11949/12287/227613/14810/22030/68375/19177/16574/59029/228033/68349/19182/51897/228361/26427/20511/12064/18796/18795/18798/84682/21817/545486/67126/228980/26444/56436/66046/73333/66377/14800/78284/19172/19185/11950/26442/230075/68922/53598/12757/67305/595136/26445/433759/67680/12371/56717/19181/15194/19017/19712/231329/26414/22241/12861/67151/20907/215114/20022/74781/20422/17992/68202/18181/208647/13063/231991/330355/13191/16438/19016/22144/66108/22147/66091/170770/232910/269881/57296/12865/69920/11771/68197/381917/67003/70316/12862/12869/11772/26400/22335/22428/11739/12367/22227/66916/20021/17463/12857/22152/14802/66925/20466/12858/12866/75669/22273/11740/53623",230
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","82/6158","94/10623",0.872340425531915,1.50485098090704,5.77358850444121,5.94715973398538e-10,2.90656961646891e-09,6.52468228784164e-10,"76709/16331/74117/19264/18783/67771/246256/14131/23797/17118/83767/18717/16886/66713/18806/12928/72508/18750/20698/211914/12632/11845/11651/218038/20963/18708/19012/18753/17909/13196/53357/26413/12929/22324/18754/30948/58988/12631/18719/22325/227753/74192/211429/329502/78390/271844/15162/18803/18805/18706/18720/14129/57257/17096/67916/18710/17357/242687/230837/12540/18707/56378/16885/19353/56443/11867/245880/110157/22323/11652/14389/18479/16332/18751/16797/330662/18709/234779/13430/26395/74769/22376",82
"Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","76/6158","86/10623",0.883720930232558,1.5244831831537,5.73501505749121,6.51218895326749e-10,3.13851328719975e-09,7.04535062195606e-10,"13346/12292/16773/14609/216033/16404/24052/21414/53313/20391/16400/12295/16480/16399/16416/12299/54377/140723/192897/11465/110893/320910/20191/11472/109620/109700/12294/12289/24053/20649/12297/16402/67451/16419/16772/20541/12558/13506/13527/12385/11474/21416/241226/12296/12298/16420/16403/16401/16410/20648/16905/213119/16842/12293/24051/18125/11938/11461/20392/21415/12386/12391/12288/319734/16651/54378/11937/20650/16412/319480/56808/13138/104099/12387/13726/13405",76
"Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells","115/6158","140/10623",0.821428571428571,1.41702431216072,5.83303871401657,7.60799778689562e-10,3.61640442746956e-09,8.11812308911717e-10,"14369/12168/14367/22409/16324/23797/18119/21423/26396/16000/17877/16878/17268/18423/21414/15110/22416/216795/13543/15407/22658/20848/57265/22415/12006/14784/15902/26380/11651/16323/16468/15904/14186/18014/17129/18708/16195/16392/22418/12166/12159/14365/16880/14368/17869/22422/29857/22408/11479/26413/13544/56637/12005/26416/26415/14370/11789/20890/17128/17126/16452/76073/22423/71041/11480/51869/269275/11477/15429/15901/20482/18706/14173/55994/18176/22414/12167/16600/16451/18710/15903/22417/18707/13542/14362/14184/19712/69587/21386/14371/22413/93735/15394/13990/69837/22421/110157/22419/16653/11652/16001/14366/22411/14183/244349/14182/18709/17125/11906/17127/26395/74769/11481/12387/75590",115
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","182/6158","238/10623",0.764705882352941,1.31917352845653,5.8482287581474,1.16206881639489e-09,5.4491605309328e-09,1.22323033304725e-09,"12859/76178/66495/227197/12912/241113/74205/67273/271639/66052/226646/66359/26408/20587/66043/75406/66594/50721/66414/327826/407790/11947/68094/66152/432530/22272/216739/26397/70383/72508/69802/11951/57376/83796/71679/14784/74370/208501/11465/104111/20663/66272/70127/214663/66694/407785/12867/75597/17993/105787/12864/66218/11514/66445/67130/29857/12895/11512/19082/83797/66379/67942/11515/224129/68194/12856/11957/28080/239985/20112/56716/22084/68342/26416/26415/78330/66416/73694/20662/20463/277250/11946/329003/12894/225887/17995/58988/67155/19091/67264/433256/11949/64930/68375/14526/11909/228033/68349/26427/69487/84682/14683/67126/66046/66377/78284/18160/18176/11950/18749/76947/12801/230075/20104/108079/12896/69893/12164/12163/595136/93760/20111/99982/67680/18158/230899/56717/66993/19744/108099/19017/231430/19092/11958/12861/19079/68033/11461/57423/17992/68202/208647/231991/104263/23945/19016/66108/16653/66091/16890/12865/67605/56636/103968/68197/68185/67003/70316/12862/12869/66853/14182/11556/14081/22227/66916/18747/11513/12857/67892/20586/27425/66925/12858/12866/66706/57279/22273/20588/67071/50790/110651",182
